"player_id","player_name","player_position"
857,"Natanael Batista Pimenta","Lateral"
462,"Wellington do Nascimento Silva","Lateral"
172,"Everton Leandro dos Santos Pinto","Atacante"
192,"Luis Francisco Grando","Zagueiro"
608,"Romulo Cabral Pereira Pinto","Atacante"
357,"Wallace Reis da Silva","Zagueiro"
626,"Ronei Gleison Rodrigues dos Reis","Meia"
701,"Alex Santos Araújo ","Atacante"
793,"Wellington de Farias Ramos Neto ","Zagueiro"
839,"Felipe Francisco Macedo","Zagueiro"
556,"Luiz Antonio de Souza Soares","Meia"
100,"Renato Soares de Oliveira Augusto","Meia"
113,"Rodrigo Marcos dos Santos","Meia"
604,"Willian Souza Arão da Silva","Meia"
595,"Hernán Barcos","Atacante"
345,"Leonardo Fabiano da Silva e Silva","Zagueiro"
722,"Ronaldo César Mendes de Medeiros","Meia"
780,"Marcos Guilherme de Almeida S. Matos","Meia"
840,"Marcelo Machado dos Santos ","Meia"
645,"Renan Alves Florêncio","Goleiro"
698,"Guilherme Henrique dos Reis Lazaroni","Lateral"
315,"Anderson Soares da Silva","Goleiro"
239,"Marcos Antônio da Silva Gonçalves","Atacante"
115,"Edno Roberto Cunha","Atacante"
790,"Neilton Meira Mestzk","Atacante"
492,"Luiz Philipe Lima de Oliveira","Meia"
905,"Liniker da Silva Moreira","Meia"
558,"Pablo Daniel Zeballos Ocampos","Atacante"
971,"Andrew Lucas Balbino Drummond","Atacante"
670,"Marcos Junio Lima dos Santos","Atacante"
823,"Alex da Silva","Lateral"
950,"Paulo Henrique Alves de Faria","Goleiro"
2,"Juan Silveira dos Santos","Zagueiro"
752,"Sérgio Raphael dos Anjos","Zagueiro"
90,"Wellington Pereira do Nascimento","Atacante"
55,"Gustavo Franchin Schiavolin","Zagueiro"
682,"Jaílton de Campos dos Santos","Zagueiro"
435,"Assuério Barbosa de Sousa Júnior","Atacante"
909,"Stéfano Yuri Gonçalves Almeida","Atacante"
860,"Ronieli Gomes dos Santos","Atacante"
896,"Nadson Alves Viana","Atacante"
274,"Enderson Alves Moreira","Técnico"
202,"Wellington Bruno da Silva","Meia"
968,"Leandro Corona Ávila","Técnico"
360,"Giovanni Aparecido Adriano dos Santos","Goleiro"
228,"Víctor Leandro Bagy","Goleiro"
814,"Emanuel Biancucchi","Meia"
403,"Tiago Real do Prado","Meia"
129,"José Renato da Silva Júnior","Lateral"
741,"Erwin Spitzner","Zagueiro"
789,"Luan José Niedzielsk","Meia"
246,"Luan Michel de Louzã","Atacante"
221,"Ávine Júnior Cardoso","Lateral"
452,"Henrique Mendonça Mattos","Zagueiro"
58,"Renan Brito Soares","Goleiro"
481,"Welder da Silva Marçal","Lateral"
342,"Eduardo Pereira Rodrigues","Atacante"
901,"Túlio Rocha Lima","Meia"
151,"Felipe Garcia dos Prazeres","Goleiro"
972,"Júnior Oliveira","Goleiro"
473,"Wiliam Silva Gomes Barbio","Atacante"
367,"Manoel Messias Silva Carvalho","Zagueiro"
45,"Ramon Rodrigo de Freitas","Meia"
1008,"Erick Samuel Correa Farias","Meia"
979,"Charles Fabian Figueiredo Santos","Técnico"
879,"Luan Guilherme de Jesus Vieira","Atacante"
753,"Alan Henrique Costa","Zagueiro"
632,"Jayme de Almeida Filho","Técnico"
108,"Rafael Miranda Conceição","Meia"
1015,"Thiago Maia Alencar","Meia"
236,"Cristóvão Borges dos Santos","Técnico"
6,"Josué Anunciado de Oliveira","Meia"
997,"João Pedro dos Santos","Lateral"
165,"Paulo Henrique Dias da Cruz","Meia"
983,"Bruno Ricardo Faustino","Meia"
785,"Fagner Ironi Daponte","Zagueiro"
798,"Welton Heleno dos Santos","Meia"
684,"Arthur Caíke do Nascimento Cruz","Atacante"
233,"Willians Domingos Fernandes","Meia"
974,"Marco Gabriel Damasceno Alves","Atacante"
472,"Giovanni Palmieri dos Santos","Lateral"
74,"Ygor Maciel Santiago","Meia"
141,"Lincoln Cássio de Souza Soares","Meia"
187,"Telmário de Araújo Sacramento","Atacante"
920,"Fabiano Donato Alves","Meia"
448,"Fernando Miguel Kaufmann","Goleiro"
809,"Maximiliano Rodríguez","Meia"
843,"Wanderson Ferreira de Oliveira","Meia"
149,"Cássio Ramos","Goleiro"
953,"Paulo Ricardo Ferreira","Zagueiro"
666,"Jose Roberto Assunção de Araujo Filho","Atacante"
592,"Danilo Lopes Cezário","Atacante"
326,"Marcelo Lomba do Nascimento","Goleiro"
224,"Réver Humberto Alves Araújo","Zagueiro"
175,"Guilherme Oliveira Santos","Lateral"
721,"Lucas Andrés Mugni","Meia"
926,"Gabriel Costa França","Zagueiro"
563,"Ademilson Braga Bispo Junior","Atacante"
804,"Ítalo Melo Oliveira","Meia"
868,"Jonatha Alves da Silva","Atacante"
643,"Jucimar Lima Pacheco","Meia"
87,"Diego Tardelli Martins","Atacante"
895,"Luís Vinícius da Silva Matos","Zagueiro"
1012,"Igor Rabello da Costa","Zagueiro"
892,"Ewandro Felipe de Lima Costa","Atacante"
572,"José Mário de Bona","Meia"
203,"Bruno Menezes Soares","Atacante"
911,"Jorge Eduardo Pedro Júnior","Atacante"
162,"Fabricio dos Santos Silva","Lateral"
341,"Vinícius Santos Silva","Atacante"
985,"Éder da Paixão Bastos","Técnico"
1001,"Nicolas Morês da Cruz","Atacante"
671,"Lucas Fonseca da Silva","Zagueiro"
851,"Hyoran Kaue Dalmoro","Meia"
188,"Wesley Lopes Beltrame","Meia"
263,"Marcelo Cordeiro de Souza","Lateral"
261,"Andrés Nicolas D'Alessandro","Meia"
994,"Gerson Santos da Silva","Meia"
276,"Nirley da Silva Fonseca","Zagueiro"
378,"Pablo Felipe Teixeira","Atacante"
734,"Weverton Almeida Santos","Meia"
870,"Bruno Gomes de Oliveira Conceição","Atacante"
820,"Lucas Cândido Silva","Meia"
969,"Celso Luiz Ferreira Rodrigues","Técnico"
125,"Aílton do Nascimento Correia","Meia"
394,"Charles Mariano Aránguiz Sandoval","Meia"
862,"Victor Luis Chuab Zamblauskas","Lateral"
131,"Abel Carlos da Silva Braga","Técnico"
561,"Maycon Lucas Nogueira Mansano","Meia"
454,"Anderson Conceição Benedito","Zagueiro"
683,"Jocinei Schad ","Meia"
984,"Bruno César Correa","Atacante"
211,"Leandro Donizete Gonçalves da Silva","Meia"
182,"Jean Carlos Sales Bemvindo","Atacante"
379,"Ricardo Bueno da Silva","Atacante"
584,"Eugenio Esteban Mena Reveco","Lateral"
921,"José Paulo de Oliveira Pinto","Meia"
991,"Iago Justen Maidana Martins","Zagueiro"
397,"Dener Assunção Braz","Lateral"
86,"Fábio Santos Romeu","Lateral"
116,"José Carlos Ferreira Filho","Atacante"
775,"Erik Mendes Gonçalves","Atacante"
471,"Wellington Wildy Muniz dos Santos","Meia"
22,"Rodrigo Oliveira de Bittencourt","Meia"
240,"Wanderley de Jesus Sousa","Meia"
816,"Claudinei dos Santos Oliveira","Técnico"
336,"Wellington da Silva Pinto","Zagueiro"
637,"Tiago Pagnussat","Zagueiro"
62,"Luiz Felipe Ventura dos Santos","Goleiro"
419,"Raphael Luz Pessoa","Meia"
929,"Eurico Nicolau de Lima Neto","Meia"
961,"Ronan David Jerônimo","Atacante"
451,"Leonardo Fabrício Soares da Costa","Meia"
234,"Luis Ricardo Silva Umbelino","Lateral"
760,"Marcelo Hermes","Meia"
702,"Luiz Gustavo Tavares Conde","Zagueiro"
914,"Bruno Brum","Zagueiro"
308,"Douglas Pereira dos Santos","Lateral"
325,"Thiago Humberto Gomes","Meia"
703,"Renato Augusto Santos Junior","Meia"
122,"Ricardo Izecson dos Santos Leite","Meia"
218,"Bruno Rodrigo Fenelon Palomo","Zagueiro"
420,"Luis Felipe Dias do Nascimento","Lateral"
340,"Eliton Deola","Goleiro"
869,"Jonathan Ferrari","Zagueiro"
581,"Emerson da Conceição","Lateral"
815,"Jonatan Lucca","Meia"
321,"Renato de Araújo Chaves Júnior","Zagueiro"
160,"Ernando Rodrigues Lopes","Zagueiro"
167,"Felipe Menezes Jácomo","Meia"
769,"Gabriel Soares Oliveira","Meia"
824,"Alberto Valentim do Carmo Neto","Técnico"
689,"Rafael Gimenes da Silva","Meia"
712,"Joílson De Jesus Cardoso","Zagueiro"
57,"Maicosuel Reginaldo de Matos","Meia"
468,"Rômulo Oliveira Amorim","Atacante"
720,"Jair Rodrigues Júnior","Meia"
237,"Vinícius Soares Eutropio","Técnico"
884,"Sidcley Ferreira Pereira","Lateral"
569,"José Paolo Guerrero Gonzales","Atacante"
288,"Willian Roberto Farias","Meia"
952,"Felipe Caldeira Gonçalves","Meia"
733,"Willian Osmar de Oliveira Silva","Meia"
927,"Mário Sérgio","Lateral"
532,"Marcelo Cañete","Meia"
500,"Weverson Leandro Oliveira Moura","Atacante"
625,"Matheus Dória Macedo","Zagueiro"
429,"Leonardo Cittadini","Meia"
652,"Paulo Otávio Rosa Silva","Lateral"
531,"Ivan Aparecido Martins","Lateral"
764,"Matheus Bitencourt da Silva","Meia"
796,"Anderson Souza Conceição","Meia"
159,"Adriano Bispo dos Santos","Meia"
14,"Ney Franco da Silveira Júnior","Técnico"
707,"Michel Macedo Rocha Machado","Lateral"
647,"Ricardo César Dantas da Silva","Zagueiro"
658,"Carlos Alberto da Silva Gonçalves Júnior","Meia"
278,"Everton José Modesto Silva","Lateral"
286,"Valmir Lucas de Oliveira","Zagueiro"
738,"Tadeu Antonio Ferreira","Goleiro"
