"player_id","player_name","player_position"
186,"Carlos Rafael do Amaral","Meia"
415,"Felipe Azevedo dos Santos","Atacante"
282,"Madson Formagini Caridade","Meia"
676,"Julio César Irrazábal León","Lateral"
383,"Víctor Leandro Bagy","Goleiro"
684,"Paulo Henrique Soares Pereira","Lateral"
650,"Bruno Tiago Costa Araújo","Meia"
876,"Jackson Fernando de Sousa","Meia"
398,"Paulo Rogério Reis Silva","Meia"
564,"Fabrício de Sousa","Meia"
809,"Ulisses Rocha de Oliveira","Meia"
546,"Magno Damaceno Santos da Cruz","Meia"
545,"Ramon de Morais Motta ","Lateral"
940,"Marcos Augusto Lopes","Zagueiro"
730,"Leonardo da Silva Vieira","Goleiro"
334,"Leonardo Renan Simões de Lacerda","Zagueiro"
140,"Deyvison Rogério da Silva","Atacante"
851,"Welthon Fiel Sampaio ","Meia"
245,"Abel Carlos da Silva Braga","Técnico"
36,"Fábio Deivson Lopes Maciel","Goleiro"
795,"Fabrício dos Santos Messias","Meia"
885,"Emerson Palmieri dos Santos","Lateral"
274,"Fernando Paixão da Silva","Meia"
153,"Fábio Santos Romeu","Lateral"
866,"Yohn Geiller Mosquera Martinez","Meia"
404,"Hugo da Silva Alcântara","Zagueiro"
275,"Fernando Gomes de Jesus","Meia"
262,"Alexandre Tadeu Gallo","Técnico"
237,"Jonas Jessué da Silva Júnior","Lateral"
85,"Washington Luiz Mascarenhas da Silva","Atacante"
794,"Guilherme Alves da Costa ","Lateral"
874,"Willian Pereira da Rocha","Zagueiro"
281,"Alexi Stival","Técnico"
466,"Rafael Aparecido da Silva","Meia"
174,"Rafael da Silva Francisco","Meia"
109,"Kleber de Carvalho Correa Silva","Lateral"
267,"Antonio Augusto Ribeiro Reis Júnior","Meia"
182,"Wanderley Monteiro dos Santos Júnior","Atacante"
837,"Paulo Henrique Martins Costa","Lateral"
217,"Douglas dos Santos","Meia"
515,"Anderson Soares da Silva","Goleiro"
538,"Welington Pereira Rodrigues","Zagueiro"
877,"Wilson Omar Pittoni","Meia"
115,"Rogério Ceni","Goleiro"
256,"Jean Paulo Batista de França","Lateral"
123,"Leandro Lessa Azevedo","Atacante"
773,"Anderson de Carvalho Santos","Meia"
384,"Jonathan Antenor de Moura Almeida","Atacante"
251,"Marcelo Moretto de Souza","Goleiro"
142,"João Miranda de Souza Filho","Zagueiro"
548,"Cícero Vítor dos Santos Júnior","Lateral"
870,"Rafael Teixeira de Souza","Atacante"
19,"Muricy Ramalho","Técnico"
641,"Anselmo Ramon Alves Erculano","Atacante"
459,"William Matheus da Silva","Lateral"
530,"Milton Raphael Guimarães Pires","Goleiro"
907,"Caio Vinícius Mattedi Ferreira","Atacante"
410,"Renan dos Santos","Goleiro"
503,"Diego Renan de Lima Ferreira","Lateral"
941,"Patrick Marins Vieira","Meia"
782,"Lucas Ramos Roggia","Atacante"
628,"Allan Marques Loureiro","Meia"
923,"Bruno Cantanhede","Atacante"
824,"Milton Batista Vieira Júnior","Meia"
342,"Keirrison de Souza Carneiro","Atacante"
411,"José Fábio Santos de Oliveira","Atacante"
579,"Saimon Pains Tormen","Zagueiro"
171,"Thiago Heleno Henrique Ferreira","Zagueiro"
648,"Dener Assunção Braz","Lateral"
90,"Maicosuel Reginaldo de Matos","Meia"
952,"Mahatma Gandhi Heber Pio Mattos Pires","Meia"
96,"Luis Fabiano Clemente","Atacante"
0,"Juliano Haus Belletti","Meia"
813,"Alisson Veloso Ricardo","Lateral"
861,"Geovane do Rosário Barroso","Meia"
296,"Adriano Bispo dos Santos","Meia"
248,"Wagerson Ramos dos Santos","Lateral"
155,"Leonardo Lourenço Bastos","Lateral"
403,"Emerson Pereira Nunes","Zagueiro"
138,"Júio César de Souza Santos","Goleiro"
273,"Ricardo Ferreira Berna","Goleiro"
791,"Mateus Salomão Caitano","Meia"
759,"Evaeverson Lemos da Silva","Atacante"
276,"Osvaldo Lourenço Filho","Atacante"
554,"Diego Souza de Andrade","Meia"
786,"Diogo José Gonçalves da Silva","Goleiro"
716,"Wescley Gomes dos Santos","Atacante"
357,"Héverton Durães Coutinho Alves","Meia"
148,"Antônio Carlos dos Santos Aguiar","Zagueiro"
618,"Everton Santos da Costa","Atacante"
412,"Vanderley Dias Marinho","Atacante"
603,"Willian José da Silva","Atacante"
257,"Adilson Dias Batista","Técnico"
672,"André Lucas Ferlini","Goleiro"
541,"Bruno Neves Ramos Rangel","Meia"
184,"Ilson Pereira Dias Júnior","Lateral"
408,"Carlos Pereira Berto Junior","Meia"
313,"Darío Leonardo Conca","Meia"
75,"Rafael Augusto Sobis do Nascimento","Atacante"
539,"Leandro da Fonseca Euzébio","Zagueiro"
887,"Wellington Silva Sanches Aguiar","Meia"
382,"Jumar José da Costa","Meia"
242,"Elias Ribeiro de Oliveira","Meia"
164,"Roger Rodrigues da Silva","Atacante"
602,"Wesley Barbosa de Morais","Atacante"
623,"Danilo Fernandes Batista","Goleiro"
758,"Davi Alexandre Fabrício","Meia"
112,"Luciano da Silva","Lateral"
946,"João Felipe","Meia"
749,"Everton Flor Tavares Lunga","Zagueiro"
22,"Antônio Jorge Cecílio Sobrinho","Técnico"
768,"Luis Alberto Ramírez Lucay","Meia"
288,"Bruno Vieira do Nascimento","Lateral"
494,"Bernardo Vieira de Souza","Meia"
710,"Alejandro Martinuccio","Meia"
493,"André Felipe Ribeiro de Souza","Atacante"
354,"Marcone Sena Cerqueira","Meia"
452,"Renan Nelson Rocha","Goleiro"
884,"Luis Otavio Bonilha de Oliveira Santos","Meia"
696,"Eron Santos Lourenço","Lateral"
821,"Iván Rodrigo Piris Leguizamón","Lateral"
832,"Djair Veiga Francisco Junior","Meia"
927,"Denner Paulino Barbosa","Zagueiro"
211,"Carlos Henrique Dias","Atacante"
882,"Paulo Roberto Falcão","Técnico"
53,"Ronaldo Simões Angelim","Zagueiro"
532,"Rodrigo Andrade da Silva","Meia"
713,"Luis Felipe Dias do Nascimento","Lateral"
706,"Renato Augusto de Assis Pinto","Meia"
841,"Alcides de Souza Faria Júnior","Meia"
236,"Hélio César Pinto dos Anjos","Técnico"
315,"Lucas Rios Marques","Lateral"
432,"Alex Sandro Lobo Silva","Lateral"
323,"Anderson Angus Aquino","Atacante"
747,"George Vinícius de Oliveira Xavier","Goleiro"
399,"Sérgio Mota Mello","Meia"
98,"Daniel Marques da Silva","Zagueiro"
640,"Gerson Fraga Vieira","Meia"
526,"Rômulo Souza Orestes Caldeira","Lateral"
149,"Maicon Thiago Pereira de Souza","Meia"
121,"Danilo Gabriel de Andrade","Meia"
190,"Leandro Castan da Silva","Zagueiro"
183,"Carlos Andrade Souza","Lateral"
828,"Miguel Antônio Bianconi Kohl","Atacante"
364,"Leandro Chaves Rodrigues","Meia"
228,"Renato Dirnei Florêncio","Meia"
593,"Cleyton Nascimento Meireles","Zagueiro"
389,"Wilson Tiago Mathias","Meia"
752,"Maurício Paiva Costa","Meia"
322,"Marco Antonio de Mattos Filho","Meia"
80,"Márcio Ferreira","Lateral"
477,"Maicon Talhetti","Meia"
625,"Walter Damián Montillo","Meia"
358,"Rafael Coelho Luiz","Atacante"
393,"Vinícius Silva Soares","Meia"
191,"Willian Lanes de Lima","Zagueiro"
612,"José Paulo Bezzera Júnior","Meia"
10,"Marcos Antônio de Lima","Zagueiro"
40,"Julio Cesar Coelho de Moraes Júnior","Lateral"
232,"Alexandro Silva de Souza","Meia"
11,"Fábio Júnior Pereira","Atacante"
857,"Revson Cordeiro dos Santos","Meia"
921,"Adryan Oliveira Tavares","Meia"
445,"Jean Raphael Vanderlei Moreira","Meia"
900,"Gilberto dos Santos Souza Júnior","Meia"
707,"Fillipe Soutto Mayor Nogueira Ferreira","Meia"
964,"Gustavo Henrique Vernes","Zagueiro"
965,"Johnny Fernando Dias","Atacante"
930,"Frederico Rodrigues Santos","Meia"
426,"Rodrigo Eduardo Costa Marinho","Meia"
630,"Aleksander Douglas de Faria","Goleiro"
