"player_id","player_name","player_position"
918,"Adaílson Martins Anacleto","Goleiro"
822,"Ryder Matos Santos","Atacante"
462,"Marcelo Nicolás Lodeiro Benítez","Meia"
541,"Guilherme Alves da Costa ","Lateral"
322,"Enderson Alves Moreira","Técnico"
168,"Paulo César Carpegiani","Técnico"
564,"Matheus Simonete Bressaneli","Zagueiro"
89,"Rogério Ceni","Goleiro"
538,"Wellington do Nascimento Silva","Lateral"
344,"Luiz Severo Júnior","Atacante"
695,"Leonardo Navacchio","Goleiro"
888,"Igor Fernandes da Silva Araujo","Lateral"
1018,"Yago Henrique Severino dos Santos","Meia"
157,"André Luiz Tavares","Meia"
71,"Carlos Rodrigues Correa","Meia"
803,"Maurides Roque Júnior","Atacante"
518,"Elinton Sanchotene Andrade","Goleiro"
832,"Nixon Darlanio Reis Cardoso","Atacante"
1037,"Daniel de Oliveira Sertanejo","Meia"
176,"Gilberto Aparecido da Silva","Zagueiro"
466,"Denis Neves Rezende da Silva","Lateral"
752,"Wangler da Silva","Meia"
540,"Diego da Silva Rosa","Meia"
218,"Vitor Silva Assis de Oliveira Júnior","Meia"
1054,"Marcos Vinicius Moreira Lopes","Lateral"
185,"Renato Portaluppi","Técnico"
947,"Erick Luis Palma dos Santos","Atacante"
732,"Luis Felipe Rodrigues","Zagueiro"
485,"Adriano José Lara","Lateral"
74,"Felipe Jorge Loureiro","Meia"
192,"Osvaldo Lourenço Filho","Atacante"
666,"Henik Luiz de Andrade","Meia"
359,"Bernardo Vieira de Souza","Meia"
318,"Wellington Aparecido Martins","Meia"
567,"Leandro de Medeiros Silva","Meia"
146,"Oziel França da Silva","Lateral"
979,"José Lucas Caetano da Silva","Atacante"
380,"Ricardo Souza Silva","Meia"
108,"Fellype Gabriel de Melo e Silva","Meia"
962,"Jemerson de Jesus Nascimento","Zagueiro"
177,"Julio Cesar da Silva e Souza","Atacante"
130,"Renato Soares de Oliveira Augusto","Meia"
34,"Fábio Deivson Lopes Maciel","Goleiro"
1049,"Pablo Andrade Plaza da Silva","Lateral"
1003,"Abner Felipe Souza de Almeida","Lateral"
495,"Jackson de Souza","Zagueiro"
326,"Werley Ananias da Silva","Zagueiro"
569,"Damián Ariel Escudero","Meia"
217,"David Braz de Oliveira Filho","Zagueiro"
813,"Wendell Nascimento Borges","Lateral"
578,"Henrique Miranda Ribeiro","Lateral"
328,"Victor Ramos Ferreira","Zagueiro"
1,"Alexsandro de Souza","Meia"
513,"Felipe de Oliveira Silva","Meia"
941,"Lucas de Farias Crispim","Atacante"
241,"Keirrison de Souza Carneiro","Atacante"
204,"Luiz Rhodolfo Dini Gaioto","Zagueiro"
468,"Hermenegildo da Costa Paulo Bartolomeu","Atacante"
92,"Danilo Gabriel de Andrade","Meia"
145,"Edílson Mendes Guimarães","Lateral"
499,"Romário Leiria de Moura","Zagueiro"
651,"Nathan Athaydes Campos Ferreira","Atacante"
805,"Paulo Roberto Rosales","Meia"
901,"Igor Celio dos Santos Climaco","Zagueiro"
142,"Rafael Miranda Conceição","Meia"
989,"Diego Carlos Santos Silva","Zagueiro"
310,"Maikon Fernando Souza Leite","Atacante"
199,"Alexi Stival","Técnico"
259,"Ávine Júnior Cardoso","Lateral"
386,"Luis Guilherme Loreno Marcelino Alves","Goleiro"
32,"Adolfo Rosinei Nascimento","Meia"
179,"Adilson Dias Batista","Técnico"
953,"Matheus Nogueira Albuquerque de Souza","Atacante"
325,"Nirley da Silva Fonseca","Zagueiro"
362,"Bruno Bairros Collaço","Lateral"
899,"Thiago Bonfim dos Santos","Meia"
51,"Manuel de Brito Filho","Atacante"
575,"Crislan Henrique da S. Sousa","Atacante"
576,"Alexander Asloquer ","Atacante"
332,"Rafael Toloi","Zagueiro"
811,"Victor Brasil de Lanna Brandão","Goleiro"
187,"Willian Gomes de Siqueira","Atacante"
139,"Alex Sandro da Silva","Zagueiro"
716,"Gabriel Girotto Franco","Meia"
