"player_id","player_name","player_position"
871,"Rafael Gomes de Oliveira","Meia"
618,"Henrique Campos Santos","Meia"
581,"Guilherme Ferreira Pinto","Atacante"
248,"Márcio Gonzaga de Azevedo","Lateral"
768,"Misael Bueno","Meia"
415,"Douglas Silva Bacelar","Zagueiro"
791,"Thiago Machado Mattos","Meia"
112,"Jefferson de Oliveira Galvão","Goleiro"
65,"Rafael Augusto Sobis do Nascimento","Atacante"
184,"Márcio Diogo Lobato Rodrigues Macedo","Meia"
900,"Renan Alves Florêncio","Goleiro"
861,"Ricardo Dias Acosta","Meia"
800,"Winiston Cristian Santos","Goleiro"
902,"Eduardo Enrique Ludwing","Zagueiro"
624,"João Vítor Ribeiro Rodrigues","Meia"
66,"Wason L. Rentería Cuesta","Atacante"
899,"Jucimar Lima Pacheco","Meia"
388,"Róbson Michael Signorini","Meia"
374,"Ciro Henrique Alves Ferreira e Silva","Atacante"
586,"Lucas de Lacerda Lima Gonçalves","Meia"
69,"Hugo Henrique Assis do Nascimento","Meia"
971,"Otavio Edmilson da Silva Monteiro","Meia"
226,"Felipe Reinaldo da Silva","Atacante"
604,"Wesley Tavares dos Santos","Lateral"
938,"Luciano da Rocha Neves","Meia"
458,"Roberson de Arruda Alves","Atacante"
120,"Edson Bastos Barreto","Goleiro"
848,"Elber Barbosa Ribeiro","Meia"
884,"Raphael David Thomaz","Meia"
278,"Gerson Alencar de Lima Junior","Meia"
574,"Fillipe Soutto Mayor Nogueira Ferreira","Meia"
454,"Rafael Galhardo de Souza","Lateral"
876,"Luis Felipe Rodrigues","Zagueiro"
396,"Marcelo de Oliveira Santos","Técnico"
187,"Diogo de Lima Barcellos","Meia"
838,"Leonardo Navacchio","Goleiro"
176,"William Xavier Barbosa","Atacante"
242,"Felipe Garcia dos Prazeres","Goleiro"
961,"Mario Saldívar","Lateral"
161,"Cleverson Rosário dos Santos","Meia"
965,"Anderson Roberto Galdino","Atacante"
778,"Rodrigo Frauches de Souza Santos","Zagueiro"
993,"Narciso dos Santos","Técnico"
228,"Marcelo dos Santos","Meia"
85,"Elano Blumer","Meia"
247,"Jackson Avelino Coelho","Atacante"
1015,"Vanderson Figueirense","Atacante"
668,"Crystian Souza Carvalho","Lateral"
772,"Pedro Paulo Alves Vieira dos Reis","Atacante"
1017,"Weverton Oliveira Veiga","Zagueiro"
555,"Carlos Henrique Casemiro","Meia"
741,"Claudinei Junio De Souza","Meia"
816,"Lucas Garcia Benetão","Meia"
232,"Willian Gomes de Siqueira","Atacante"
910,"Vanaílson Luciano Souza Alves","Goleiro"
641,"Diego Jussani","Zagueiro"
339,"Maylson Barbosa Teixeira","Meia"
108,"Manoel Morais Amorim","Meia"
887,"Matheus Dória Macedo","Zagueiro"
591,"Ricardo Hernesto Ahllf","Goleiro"
331,"Anderson Grasiane de Matos Silva","Zagueiro"
277,"Paulo Henrique Silva Rodrigues","Zagueiro"
300,"Aílson Alves Carreiro","Zagueiro"
931,"Marcos Junio Lima dos Santos","Atacante"
183,"André Luiz Tavares","Meia"
45,"Henrique Pacheco de Lima","Meia"
929,"Railan","Lateral"
669,"Willian de Souza Silva Cruz","Zagueiro"
266,"Vitor Silva Assis de Oliveira Júnior","Meia"
565,"Lucas Rodrigues Moura da Silva","Meia"
468,"Leandro da Fonseca Euzébio","Zagueiro"
408,"Guilherme Andrade Silva","Lateral"
867,"Alexandre Rossi de Oliveira","Lateral"
690,"Rafael Martins Claro","Goleiro"
588,"Leonardo da Silva Vieira","Goleiro"
543,"Romulo Borges Monteiro","Meia"
131,"Cícero João de Cezare","Lateral"
342,"Luis Ricardo Silva Umbelino","Lateral"
1010,"Bruno de Araújo Dybal","Meia"
163,"José Antônio Pereira","Meia"
282,"José Gerson Ramos","Meia"
152,"Diego Cavalieri","Goleiro"
493,"Saimon Pains Tormen","Zagueiro"
435,"Cleiton Sulzbacher da Silva","Zagueiro"
725,"Marcos González Salazar","Zagueiro"
888,"Adelino da Silva Pereira Cirqueira","Atacante"
914,"Lucas Silva Borges","Meia"
650,"Fernando Galhardo Borges","Lateral"
812,"Alvino Volpi Neto","Goleiro"
31,"Carlos Alberto Gomes de Jesus","Meia"
55,"Rodrigo de Souza Cardoso","Atacante"
859,"Jean Mota Oliveira de Sousa","Atacante"
18,"Flávio Murtosa","Técnico"
833,"Matías Enrique Abelairas","Meia"
942,"Elson Ferreira de Souza","Lateral"
943,"Danilo Caçador","Meia"
511,"Fábio Souza dos Santos","Atacante"
319,"Réver Humberto Alves Araújo","Zagueiro"
285,"Anderson da Silveira Ribeiro","Lateral"
844,"Stéfano Souza Pinho","Lateral"
301,"Emerson dos Santos Silva","Zagueiro"
123,"Fellype Gabriel de Melo e Silva","Meia"
93,"Claudio Andres del Transito Maldonado Ri","Meia"
691,"Caio Gobbo Secco","Goleiro"
387,"Marcos Rogério Ricci Lopes","Lateral"
453,"Jonathan Doin","Zagueiro"
514,"José Paulo Bezzera Júnior","Meia"
133,"Leonardo Lourenço Bastos","Lateral"
751," \tEwerton Ribeiro Páscoa","Zagueiro"
968,"Jairo Lima de Araújo","Técnico"
158,"Darcy Dolce Neto","Lateral"
178,"José Kleberson Pereira","Meia"
79,"Rogério Miranda Silva","Meia"
566,"Bruno Uvini","Zagueiro"
786,"Rafael de Souza Rodolfo","Atacante"
666,"Luiz Eduardo Félix da Costa","Zagueiro"
742,"Jonh Lennon Silva Santos","Lateral"
36,"Julio Cesar Coelho de Moraes Júnior","Lateral"
633,"Jaílton Santos da Silva","Zagueiro"
854,"Willian Souza Arão da Silva","Meia"
62,"Marcos Venâncio de Albuquerque","Lateral"
335,"Gian Francesco Gonçalves Mariano","Zagueiro"
397,"Thiago Rocha da Cunha","Meia"
912,"Dieyson Anjos da Silva","Lateral"
229,"Washington Sebastián Abreu Gallo","Atacante"
57,"Alessandro Mori Nunes","Lateral"
622,"Jonas Henrique Pessalli","Meia"
367,"Ananias Elói Castro Monteiro","Meia"
