"player_id","player_name","player_position"
355,"Víctor Javier Cáceres Centurión","Meia"
701,"Clayson Henrique da Silva Vieira","Meia"
735,"Robert Gonçalves Santos","Meia"
570,"Jonatas Barbosa Rodrigues","Meia"
175,"Sérgio Antônio Borges Júnior","Meia"
69,"Fernando Buttenbender Prass","Goleiro"
250,"Tiago Luis Martins","Atacante"
757,"Victor Luis Chuab Zamblauskas","Meia"
672,"Celso Luís Honorato Júnior","Meia"
31,"Julio Cesar Coelho de Moraes Júnior","Lateral"
710,"Lucas Cavalcante Silva Afonso","Zagueiro"
868,"Willian de Asevedo Furtado","Lateral"
686,"Duvier Riacos Barahona","Atacante"
958,"Matheus Alves","Goleiro"
406,"Weverton Pereira da Silva","Goleiro"
221,"Eduardo da Silva Nascimento Neto","Meia"
969,"Kevin Peterson Dos Santos Silva","Lateral"
82,"Wellington Pereira do Nascimento","Atacante"
767,"Vitor Xavier de Campos Humeni","Atacante"
207,"Leonardo Gamalho de Souza","Atacante"
288,"Pablo Estifer Armero","Lateral"
276,"Maicon Talhetti","Meia"
644,"Rafhael Lucas Oliveira da Silva","Atacante"
833,"Douglas Baggio de Oliveira Costa","Atacante"
806,"Gabriel Costa França","Zagueiro"
409,"Renato Escobar Baruffi","Meia"
113,"Júlio César Baptista","Meia"
546,"Marcelo Augusto Mathias da Silva","Zagueiro"
439,"Ederaldo Antônio de Oliveira","Goleiro"
373,"Eduardo Colcenti Antunes","Atacante"
618,"Marcos Vinícius dos Santos Gonçalves","Técnico"
932,"Jesiel Cardoso Miranda","Zagueiro"
468,"Ivan Aparecido Martins","Lateral"
257,"Marcelo de Oliveira Santos","Técnico"
834,"Ivan Quaresma da Silva","Goleiro"
859,"Gabriel Fernando de Jesus","Atacante"
424,"Victor Gomes Lemos","Meia"
65,"Severino dos Ramos Durval da Silva","Zagueiro"
8,"Oswaldo de Oliveira","Técnico"
617,"Romário Guilherme dos Santos","Lateral"
36,"Diego Salgado Costa de Meneses","Goleiro"
856," Carlos Henrique dos Santos Couto","Zagueiro"
255,"Wellington Aparecido Martins","Meia"
1,"Juan Silveira dos Santos","Zagueiro"
869,"Matheus de Sales Cabral","Meia"
4,"Magno Alves de Araújo","Atacante"
656,"Moisés Wolschick","Meia"
774,"Jonathan Fernando da Costa Ramos","Meia"
205,"Ytalo José da Silva Santos","Atacante"
922,"Paulo Victor Nunes Martins","Atacante"
400,"Gabriel Rybar Blos","Zagueiro"
326,"Marcos Gabriel do Nascimento","Meia"
164,"Lucas Rios Marques","Lateral"
158,"David Braz de Oliveira Filho","Zagueiro"
258,"Enderson Alves Moreira","Técnico"
1032,"Eriélton Carlos Pacheco","Técnico"
976,"Gelson Luis Pinto Mello","Meia"
581,"Derivaldo Bezerra Cavalcante","Meia"
626,"Fernando Viana Silva Jardim","Atacante"
189,"Hudson José Coutinho","Técnico"
430,"Marco da Silva Ignácio","Meia"
407,"Elton Junior Melo Ataíde","Meia"
438,"Juberci Alves da Cruz","Atacante"
777,"Luiz Paulo França do Nascimento","Lateral"
1034,"Fabio Carvalho Matos","Meia"
670,"Artur Jesus Vieira","Zagueiro"
808,"Alex Flávio Santos Luz","Zagueiro"
965,"Caique França Godoy","Goleiro"
339,"Fábio Souza dos Santos","Atacante"
947,"Luiz Carlos dos Santos Junior","Meia"
313,"Eduardo Pereira Rodrigues","Atacante"
803,"Philipe Maia de Freitas","Zagueiro"
359,"Maycon Vinícius Ferreira da Cruz","Meia"
347,"Matías Nicolás Rodríguez","Lateral"
817,"Tiago Machowski","Goleiro"
613,"Pedro Tonon Geromel","Zagueiro"
693,"Guilherme Parede Pinheiro","Atacante"
559,"Bruno de Oliveira Furlan","Atacante"
370,"Ederson Honorato Campos","Meia"
940,"Matheus Gonçalves Sávio","Atacante"
901,"Cristian Luiz Moreira","Lateral"
129,"Marcelo dos Santos","Meia"
821,"Antônio Francisco Moura Neto","Meia"
166,"Wellington Luis de Sousa","Atacante"
509,"Christian Alberto Vilches González","Zagueiro"
458,"Gabriel Santana Pinto","Meia"
855,"Eduardo Jose Barbosa da Silva Junior","Meia"
1039,"Jobson Souza Santos","Meia"
141,"Fagner Conserva Lemos","Lateral"
125,"Alessandro Beti Rosa","Goleiro"
961,"José Arthur Pereira Neto","Atacante"
266,"Uelliton da Silva Vieira","Meia"
825,"Gabriel Leite Borges","Meia"
432,"Mike dos Santos Nenatarvicius","Atacante"
903,"Matheus Albino Carneiro","Goleiro"
441,"Sherman Andrés Cárdenas Estupiñan","Meia"
665,"Régis Augusto Salmazzo","Meia"
89,"Fábio Ferreira da Silva","Zagueiro"
330,"Giovanni Aparecido Adriano dos Santos","Goleiro"
220,"Pablo de Barros Paulino","Lateral"
270,"José Gildeixon Clemente Paiva","Meia"
280,"Paulo Marcos de Jesus Ribeiro","Zagueiro"
91,"Jorge Luís Valdivia Toro","Meia"
972,"Adniellyson da Silva Oliveira","Meia"
242,"João Guilherme Estevão da Silva","Atacante"
190,"Walter Leandro Capeloza Artume","Goleiro"
105,"Douglas dos Santos","Meia"
772,"Luan Guilherme de Jesus Vieira","Atacante"
878,"Felipe Saturnino Gomes","Lateral"
20,"Rafael Marques Pinto","Zagueiro"
240,"Bruno Henrique Fortunato Aguiar","Zagueiro"
171,"Wesley Lopes Beltrame","Meia"
866,"Daniel Miller Tenenbaum","Goleiro"
993,"Gustavo Agustín Viera Velázquez","Meia"
320,"Giovanni Augusto Oliveira Cardoso","Meia"
1030,"Thiago Nascimento dos Santos","Atacante"
660,"Matheus Galdezani","Meia"
487,"Ewerton Ribeiro Páscoa","Zagueiro"
785,"Rodrigo Vasconcelos Oliveira","Meia"
411,"Silvio José Cardoso Reis Junior","Atacante"
796,"José Carlos Citta Junior","Meia"
382,"Bruno Henrique Corsini","Meia"
433,"Frederico Burgel Xavier ","Zagueiro"
904,"João Lucas Lima Silva","Lateral"
685,"Alef Vieira dos Santos","Zagueiro"
59,"Rogério Ceni","Goleiro"
199,"Edson Ramos da Silva","Lateral"
449,"Eduardo Antônio Machado Teixeira","Meia"
550,"Luiz Eduardo dos Santos Gonzaga","Atacante"
548,"Matheus Dória Macedo","Zagueiro"
899,"Pedro Rocha Neves","Atacante"
883,"Romulo dos Santos de Souza","Atacante"
807,"Mário Sérgio Gomes de Souza","Lateral"
1029,"Mateus da Silva Vital Assumpção","Meia"
26,"Adolfo Rosinei Nascimento","Meia"
402,"Henrique Mendonça Mattos","Zagueiro"
782,"Ewandro Felipe de Lima Costa","Atacante"
15,"Gilson Kleina","Técnico"
729,"Fabrício Santos de Jesus","Meia"
746,"Artur Sérgio Batista de Souza","Lateral"
346,"Wagner da Silva","Zagueiro"
676,"Alan José Bernardon","Goleiro"
639,"Luiz Gustavo Domingues","Zagueiro"
229,"Julio Daniel dos Santos Rodríguez","Meia"
556,"Elisson Aparecido Rosa","Goleiro"
42,"Germán Gustavo Herrera","Atacante"
574,"Douglas dos Santos Justino de Melo","Lateral"
962,"Luiz Felipe Costa Meneses","Meia"
727,"Jeferson de Araújo de Carvalho","Lateral"
210,"Elias Mendes Trindade","Meia"
35,"Henrique Pacheco de Lima","Meia"
